timestamp,ontario_demand_mw,predicted_demand_mw,baseline_demand_mw,lower_90_mw,upper_90_mw,absolute_error_mw
2026-07-04 13:00:00,19627,21736.79419641287,17483.0,20639.355388215146,23298.74575875301,2109.7941964128695
2026-07-04 14:00:00,19701,21205.601165632997,17481.0,20108.16235743527,22767.55272797314,1504.6011656329974
2026-07-04 15:00:00,20059,21838.389110063614,18338.0,20740.950301865887,23400.340672403756,1779.3891100636138
2026-07-04 16:00:00,21027,21734.139263090496,18928.0,20636.700454892773,23296.090825430638,707.1392630904957
2026-07-04 17:00:00,21416,21679.252497942543,19398.0,20581.81368974482,23241.204060282686,263.2524979425434
2026-07-04 18:00:00,21021,21679.252497942543,19181.0,20581.81368974482,23241.204060282686,658.2524979425434
2026-07-04 19:00:00,20347,21152.850112268632,18622.0,20055.411304070905,22714.801674608774,805.8501122686321
2026-07-04 20:00:00,19814,21136.986753578916,17937.0,20039.547945381193,22698.93831591906,1322.9867535789163
2026-07-04 21:00:00,18983,20028.619918643508,16963.0,18931.18111044578,21590.57148098365,1045.6199186435078
2026-07-04 22:00:00,17773,18955.36349318474,16042.0,17857.924684987018,20517.315055524883,1182.363493184741
2026-07-04 23:00:00,16809,18009.05473812116,15179.0,16911.615929923435,19571.006300461304,1200.0547381211618
2026-07-05 00:00:00,16118,17619.634828539864,14424.0,16522.19602034214,19181.586390880006,1501.6348285398635
2026-07-05 01:00:00,15580,17295.406503958387,13793.0,16197.967695760663,18857.35806629853,1715.4065039583875
2026-07-05 02:00:00,15225,16805.69633474647,13429.0,15708.257526548745,18367.647897086612,1580.6963347464698
2026-07-05 03:00:00,15034,16357.905374310614,13232.0,15260.46656611289,17919.856936650758,1323.9053743106142
2026-07-05 04:00:00,14807,16310.01245200194,12894.0,15212.573643804215,17871.964014342084,1503.01245200194
2026-07-05 05:00:00,14598,15862.226951058621,12733.0,14764.788142860896,17424.178513398765,1264.2269510586211
2026-07-05 06:00:00,14960,16405.494505241844,13420.0,15308.05569704412,17967.446067581986,1445.4945052418443
2026-07-05 07:00:00,15655,17008.804453807596,14408.0,15911.36564560987,18570.756016147738,1353.8044538075956
2026-07-05 08:00:00,16240,17516.556419195364,15318.0,16419.117610997637,19078.507981535506,1276.5564191953636
2026-07-05 09:00:00,17153,18303.235131057107,16212.0,17205.79632285938,19865.18669339725,1150.2351310571066
2026-07-05 10:00:00,18299,19167.5098229703,17010.0,18070.071014772577,20729.461385310442,868.5098229702999
2026-07-05 11:00:00,18822,19496.665044445774,17655.0,18399.226236248047,21058.616606785916,674.6650444457737
2026-07-05 12:00:00,18939,19913.739601734283,18022.0,18816.30079353656,21475.691164074426,974.7396017342835
2026-07-05 13:00:00,18999,19859.516452696967,18326.0,18762.077644499244,21421.46801503711,860.5164526969675
2026-07-05 14:00:00,19343,20170.18790505325,18880.0,19072.74909685553,21732.139467393394,827.1879050532516
2026-07-05 15:00:00,19863,20711.09072871766,19500.0,19613.651920519937,22273.0422910578,848.0907287176597
2026-07-05 16:00:00,20247,21239.936258024285,20269.0,20142.49744982656,22801.887820364427,992.936258024285
2026-07-05 17:00:00,20151,21733.944735866633,20657.0,20636.505927668906,23295.896298206775,1582.944735866633
2026-07-05 18:00:00,19741,21262.96660502375,20574.0,20165.527796826027,22824.918167363892,1521.9666050237502
2026-07-05 19:00:00,19052,20730.245710643318,19964.0,19632.80690244559,22292.19727298346,1678.2457106433176
2026-07-05 20:00:00,18846,20376.206468576045,19220.0,19278.76766037832,21938.158030916187,1530.2064685760452
2026-07-05 21:00:00,17990,18856.62263497439,18117.0,17759.183826776665,20418.57419731453,866.6226349743883
2026-07-05 22:00:00,16708,17376.940445835393,16887.0,16279.501637637668,18938.892008175535,668.9404458353929
2026-07-05 23:00:00,15756,17057.839163204575,15939.0,15960.40035500685,18619.790725544717,1301.839163204575
