date,average_demand_mw,peak_demand_mw,minimum_demand_mw,total_energy_gwh,hour_of_day,load_factor
2023-06-02,18153.75,21463,13670,435.69,16,0.8458160555374366
2023-06-03,15104.708333333334,17019,13048,362.513,17,0.8875203204261903
2023-06-04,13559.125,16183,11438,325.419,18,0.8378622628684422
2023-06-05,15158.458333333334,17801,11986,363.803,17,0.8515509428309271
2023-06-06,14911.041666666666,17178,12160,357.865,16,0.8680312997244537
2023-06-07,14353.583333333334,16257,11968,344.486,16,0.8829171023764123
2023-06-08,14559.791666666666,15962,12202,349.435,16,0.9121533433571398
2023-06-09,14318.0,15698,12107,343.632,19,0.912090712192636
2023-06-10,13884.333333333334,16198,11536,333.224,18,0.8571634358151212
2023-06-11,13795.5,15688,11664,331.092,16,0.8793663946965834
2023-06-12,14880.333333333334,16781,11916,357.128,16,0.8867369842877858
2023-06-13,14359.625,16034,12039,344.631,17,0.8955734688786329
2023-06-14,14446.833333333334,16127,11973,346.724,20,0.8958165395506501
2023-06-15,14555.375,16238,11921,349.329,20,0.8963773247936938
2023-06-16,14642.791666666666,16510,12084,351.427,17,0.8869044013729053
2023-06-17,13836.083333333334,15850,11849,332.066,17,0.8729390115667719
2023-06-18,14019.041666666666,16918,11455,336.457,18,0.8286465106198526
2023-06-19,15751.708333333334,18750,12205,378.041,17,0.8400911111111111
2023-06-20,16383.708333333334,19731,12659,393.209,17,0.8303536735762675
2023-06-21,16960.458333333332,20305,12913,407.051,16,0.8352848231141754
2023-06-22,16773.708333333332,19837,13235,402.569,16,0.8455768681420242
2023-06-23,16734.166666666668,18864,13544,401.62,12,0.8870953491659599
2023-06-24,16218.875,19057,13245,389.253,17,0.8510717846460618
2023-06-25,16606.291666666668,20313,12619,398.551,17,0.8175203892417008
2023-06-26,17093.041666666668,19554,13913,410.233,16,0.874145528621595
2023-06-27,16476.916666666668,18722,13587,395.446,16,0.8800831463874943
2023-06-28,15517.0,17982,12732,372.408,16,0.8629184740295851
2023-06-29,15852.416666666666,18294,12657,380.458,17,0.8665363871579024
2023-06-30,16510.833333333332,19789,12867,396.26,16,0.834343995822595
2023-07-01,16238.291666666666,19049,12821,389.719,16,0.8524485099830262
2023-07-02,15547.583333333334,17698,12962,373.142,17,0.8784938034429502
2023-07-03,16317.041666666666,20063,12761,391.609,17,0.8132902191430328
2023-07-04,18380.708333333332,21690,13155,441.137,16,0.8474277700937451
2023-07-05,19452.541666666668,22686,14364,466.861,17,0.8574689970319433
2023-07-06,18890.0,21882,15262,453.36,11,0.8632666118270724
2023-07-07,17374.208333333332,20037,14343,416.981,17,0.8671062700670426
2023-07-08,15061.125,17038,12359,361.467,16,0.8839725906796573
2023-07-09,15364.0,18642,12124,368.736,17,0.8241604978006651
2023-07-10,17304.125,21021,13047,415.299,17,0.8231827696113411
2023-07-11,17602.708333333332,20349,13645,422.465,15,0.8650404606286959
2023-07-12,16312.875,19898,12802,391.509,16,0.8198248567695245
2023-07-13,16215.75,18246,12873,389.178,17,0.888729036501151
2023-07-14,16379.333333333334,19628,12913,393.104,16,0.8344881461857211
2023-07-15,15582.208333333334,17749,12657,373.973,16,0.8779203523203185
2023-07-16,15886.75,19169,12637,381.282,17,0.8287730189368251
2023-07-17,16918.666666666668,20199,12898,406.048,16,0.837599221083552
2023-07-18,16904.708333333332,19849,13249,405.713,16,0.8516654911246577
2023-07-19,16693.291666666668,19700,12948,400.639,17,0.8473752115059222
2023-07-20,17184.958333333332,20794,13221,412.439,16,0.826438315539739
2023-07-21,16438.125,19219,12983,394.515,17,0.8553059472397107
2023-07-22,15834.583333333334,19176,12785,380.03,17,0.8257500695313587
2023-07-23,15744.625,18744,12417,377.871,17,0.8399821276141699
2023-07-24,17330.125,20356,13232,415.923,15,0.8513521811750835
2023-07-25,17855.875,21298,13608,428.541,16,0.8383827119917363
2023-07-26,18524.375,21296,14593,444.585,16,0.8698523196844478
2023-07-27,18787.333333333332,21558,15177,450.896,17,0.8714784921297585
2023-07-28,18825.458333333332,21551,14516,451.811,16,0.8735306172954077
2023-07-29,16017.083333333334,17404,13695,384.41,18,0.9203104650271968
2023-07-30,14526.833333333334,17160,11987,348.644,17,0.8465520590520591
